cid,pid,lid,bid,brand,mid,mall,st,city,area,sc,ip
179,15554,117182,416,Warby Parker,7426,Heights Mercantile,645 Heights Blvd,Houston Tx,,TX,0
179,15345,117066,3294,Visionworks,7379,Almeda Mall,12200 Gulf Fwy,Houston Tx,,TX,0
179,14692,116602,1872,Journeys Kidz,7379,Almeda Mall,12200 Gulf Fwy,Houston Tx,,TX,0
179,14683,116594,66,ZARA,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
179,14677,116590,11703,Petco,0,,12310 Farm to Market 1960 W,Houston Tx,,TX,0
179,14651,116576,2077,Men's Wearhouse,0,,6380 Rogerdale Rd,Houston Tx,Houston,TX,0
179,14645,116572,33748,Stripes 5218,0,,14811 North Fwy,Houston Tx,Houston,TX,0
179,14641,116569,25309,Circle K,0,,17103 W Little York Rd,Houston Tx,Houston,TX,0
179,14640,116568,33746,Corner Store,0,,805 FM 1960,Houston Tx,Houston,TX,0
179,14011,116141,2634,Smashburger,7071,George Bush Intercontinental Airport ,2800 N Terminal Rd,Houston Tx,Houston,TX,0
179,14010,116140,33652,Ray's Real Pit BBQ,7071,George Bush Intercontinental Airport ,2800 N Terminal Rd,Houston Tx,Houston,TX,0
179,14009,116139,55,HARRY WINSTON,6818,River Oaks District,4444 Westheimer Road,Houston Tx,GENAREA,TX,0
179,13526,115906,33620,Ember Steakhouse,7071,George Bush Intercontinental Airport ,2800 N Terminal Rd,Houston Tx,Houston,TX,0
179,13027,115660,66,ZARA,777,Willowbrook Mall,2000 Willowbrook Mall,Houston Tx,Houston,TX,0
179,8100,109666,24308,Fresenius Medical Care ,0,,4600 East Sam Houston Pkwy S,Houston Tx,Houston,TX,0
179,8094,109661,248,Starbucks,0,,5820 W Sam Houston Pkwy S,Houston Tx,Houston,TX,0
179,5598,106313,66,ZARA,767,Baybrook Mall,500 Baybrook Mall Dr.,Houston Tx,,TX,0
179,5597,106312,1444,Sur La Table,767,Baybrook Mall,500 Baybrook Mall Dr.,Houston Tx,,TX,0
179,5373,20090,267,Guess,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
179,5332,77935,5183,TCBY Frozen Yogurt,5746,Memorial City Mall,303 Memorial City,Houston Tx,,TX,0
179,5321,102026,1824,Shoe Palace,777,Willowbrook Mall,2000 Willowbrook Mall,Houston Tx,Houston,TX,0
179,5297,102012,2077,Men's Wearhouse,6725,Briarcroft Shopping Center,5620 Westheimer Rd,Houston Tx,,TX,0
179,5296,19976,1877,Vans,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
179,5266,100491,27177,New Orleans Chicken and Waffles,6758,Willowbrook Plaza,17355 Tomball Pky.,Houston Tx,GENAREA,TX,0
179,5258,100242,27100,Yardhouse Restaurant,6692,Citycentre Plaza,800 Sorella Ct,Houston Tx,,TX,0
179,5257,100241,27099,Kolache Factory,0,,5571 Hwy 6 N,Houston Tx,Houston,TX,0
179,5256,100240,26951,Men's Wearhouse,0,,4946 Beechnut,Houston Tx,Houston,TX,0
179,5222,20014,2485,L.K. Bennett,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
179,5220,20022,2,MIUMIU,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
179,5219,79772,1,PRADA,5807,Saks Fifth Avenue Galleria Mall,5115 Westheimer Road,Houston Tx,GENAREA,TX,0
179,5181,99605,26948,Visionworks Optical,6772,Gulfgate Center Mall,500 Gulfgate Center,Houston Tx,GENAREA,TX,0
179,5158,20323,1679,Champs Sports,777,Willowbrook Mall,2000 Willowbrook Mall,Houston Tx,Houston,TX,0
179,5127,20014,2485,L.K. Bennett,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
179,5126,20090,267,Guess,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
179,5109,99571,4836,La Madeleine,6633,Parkway Villages Shopping Center,1510 Eldridge Pkwy,Houston Tx,,TX,0
179,5083,79449,1884,Lucy,5775,Highland Village,4055 Westheimer Road,Houston Tx,GENAREA,TX,0
179,5076,77931,248,Starbucks,5746,Memorial City Mall,303 Memorial City,Houston Tx,,TX,0
179,5052,19970,298,Steve Madden,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
179,5043,99532,2077,Men's Wearhouse,0,,10485 W Bellfort St,Houston Tx,Houston,TX,0
179,5032,100499,1827,dressbarn,6702,Northwest Crossing I,13101 Northwest Fwy,Houston Tx,GENAREA,TX,0
179,5025,99516,26904,Academy Sports + Outdoors,0,,7600 Westheimer Rd,Houston Tx,Houston,TX,0
179,5019,100290,1706,White House|Black Market,6696,River Oaks Shopping Center,1964 W Gray St,Houston Tx,GENAREA,TX,0
179,5016,99510,1693,Chico's,5746,Memorial City Mall,303 Memorial City,Houston Tx,,TX,0
179,5014,99508,290,FOREVER 21,777,Willowbrook Mall,2000 Willowbrook Mall,Houston Tx,Houston,TX,0
179,4991,20188,768,Tourbillon,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,0
179,4987,99489,4836,La Madeleine,0,,2423 Katy Freeway,Houston Tx,Houston,TX,0
179,4986,99889,26934,Snap Kitchen,6673,Houston Center,1200 McKinney St,Houston Tx,GENAREA,TX,0
179,4979,99685,3041,Whole Foods Market,6669,Westchase Shopping Center,7601 Westheimer Rd.,Houston Tx,GENAREA,TX,0
